ID,smiles,IC50,WT_score,Mut_score,score_diff,RMSD_diff,WT pose dist to mutation,Mut pose dist to mutation
OSM-S-505,Oc1ncc(OCCc2ccccc2)n2c(-c3ccc(OC(F)F)cc3)nnc12,10.0,-7.5,-8.4,0.9000000000000004,7.685038421070732,1.3513280077134215,4.738232732485933
OSM-S-510,CN1CCN(C(=O)c2ccc(-c3nnc4cncc(OCCc5ccc(F)c(F)c5)n34)cc2)CC1,10.0,-8.4,-9.2,0.7999999999999989,7.794371956382659,1.5531662410870823,3.7702798005574008
OSM-S-506,NS(=O)(=O)c1ccc(-c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)cc1,10.0,-7.8,-8.8,1.0000000000000009,7.448535906891367,7.70532830761552,3.1536331714572547
OSM-S-507,O=C(c1ccc(-c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)cc1)N1CCOCC1,10.0,-8.5,-8.5,0.0,6.131831254153343,1.534959421940121,3.3727130833821244
OSM-S-508,CN1CCN(C(=O)c2cccc(-c3nnc4cncc(OCCc5ccc(F)c(F)c5)n34)c2)CC1,10.0,-9.1,-8.7,-0.40000000000000036,8.814614540636477,1.677394854574939,6.378035304856162
OSM-S-509,FC(F)Oc1ccc(-c2nnc3c(N4CCOCC4)nccn23)cc1,10.0,-8.0,-7.9,-0.09999999999999964,1.7430522539499496,2.1738638070270775,3.2960033902040937
OSM-S-433,FC(F)Oc1ccc(-c2nnc3cncc(OCCC4C5C6CC7C8C6CC5C8C47)n23)cc1,1.08,-7.6,-7.9,0.3000000000000007,5.598749200139314,2.1969752446805857,3.0324230103761622
OSM-S-497,FC(F)Oc1ccc(-c2nnc3cncc(OCCN4CCNCC4)n23)cc1,10.0,-7.5,-7.7,0.20000000000000018,1.1058778151023212,3.70066558885326,4.037559643654681
OSM-S-498,FC(F)Oc1ccc(-c2nnc3cncc(OCCN4CCOCC4)n23)cc1,10.0,-8.1,-8.0,-0.09999999999999964,0.5427280706032163,5.267593216376306,5.2705679227815425
OSM-S-499,FC(F)Oc1ccc(-c2nnc3cncc(OCCN4CCCCC4)n23)cc1,10.0,-8.4,-8.4,0.0,0.17467566002994395,5.158684941730231,5.042837996940394
OSM-S-500,FC(F)Oc1ccc(-c2nnc3cncc(OCCN4CCCC4)n23)cc1,10.0,-7.8,-7.7,-0.09999999999999964,1.5818014255904567,5.682969990311639,6.5803651617523
OSM-S-501,CC(C)(C)OC(=O)N1CCN(CCOc2cncc3nnc(-c4ccc(OC(F)F)cc4)n23)CC1,10.0,-7.8,-8.2,0.39999999999999947,1.8990530023028733,2.113829133125589,3.6249548552024824
OSM-S-502,OCCc1cn(-c2nccn3c(-c4ccc(OC(F)F)cc4)nnc23)c2ccccc12,8.0,-8.9,-8.1,-0.8000000000000007,1.7249541841741771,1.6817279016080995,2.7137080381351266
OSM-S-328,Oc1nccn2c(-c3ccc(OC(F)F)cc3)nnc12,10.0,-6.9,-7.3,0.39999999999999947,2.0722456188304283,1.6495142742326911,2.9506734247948954
OSM-S-442,FC(F)Oc1ccc(-c2nnc3cncc(OCCC4CC4)n23)cc1,3.03,-6.5,-7.5,1.0,5.61971852320025,5.383673628188174,6.381710448406445
OSM-S-511,FC(F)Oc1ccc(-c2nnc3cncc(OCC4CC5CC4C4OC54)n23)cc1,9.8,-7.9,-7.5,-0.40000000000000036,2.921837264462208,5.08121467636094,3.2601518826192044
